# Serializing assets/vocabularies/court-type/latest/court-type.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/court-type
# title: Court type
# version: 20210317-0
# description: Court type
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
EUR_CJ,http://publications.europa.eu/resource/authority/court-type/EUR_CJ,false,1952-07-24,EUR_CJ,Court of Justice,Corte di giustizia,
EUR_CST,http://publications.europa.eu/resource/authority/court-type/EUR_CST,true,2004-11-09,EUR_CST,Civil Service Tribunal,Tribunale della funzione pubblica,2016-08-31
EUR_GC,http://publications.europa.eu/resource/authority/court-type/EUR_GC,false,2009-12-01,EUR_GC,General Court,Tribunale,
NAT_COURT_APPEAL,http://publications.europa.eu/resource/authority/court-type/NAT_COURT_APPEAL,false,1952-07-24,NAT_COURT_APPEAL,Court of appeal,Corte di appello,
NAT_COURT_FIRST_INSTANCE,http://publications.europa.eu/resource/authority/court-type/NAT_COURT_FIRST_INSTANCE,false,1952-07-24,NAT_COURT_FIRST_INSTANCE,Court of first instance,Tribunale di primo grado,
NAT_COURT_SUPREME,http://publications.europa.eu/resource/authority/court-type/NAT_COURT_SUPREME,false,1952-07-24,NAT_COURT_SUPREME,Supreme court,Corte suprema,
OP_DATPRO,http://publications.europa.eu/resource/authority/court-type/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori,
