# Serializing assets/vocabularies/filetypes/latest/filetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/file-type
# title: File type
# version: 20210929-0
# description: File type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
HTML_SIMPL,http://publications.europa.eu/resource/authority/file-type/HTML_SIMPL,false,2012-09-01,HTML_SIMPL,HTML simplified,,
ICS,http://publications.europa.eu/resource/authority/file-type/ICS,false,1998-01-01,ICS,ICalendar,,
IMMC_XML,http://publications.europa.eu/resource/authority/file-type/IMMC_XML,false,2016-04-08,IMMC_XML,IMMC XML message,,
INDD,http://publications.europa.eu/resource/authority/file-type/INDD,false,2012-09-01,INDD,INDD,,
IPA,http://publications.europa.eu/resource/authority/file-type/IPA,false,2008-07-10,IPA,IPA,,
ISO,http://publications.europa.eu/resource/authority/file-type/ISO,false,1988-09-01,ISO,ISO image,,
ISO_ZIP,http://publications.europa.eu/resource/authority/file-type/ISO_ZIP,false,2012-09-01,ISO_ZIP,Zipped ISO image,,
JAR,http://publications.europa.eu/resource/authority/file-type/JAR,false,1997-01-01,JAR,JAR,,
JATS,http://publications.europa.eu/resource/authority/file-type/JATS,false,2003-03-31,JATS,JATS XML,,
JPEG,http://publications.europa.eu/resource/authority/file-type/JPEG,false,2012-09-01,JPEG,JPEG,,
JPEG2000,http://publications.europa.eu/resource/authority/file-type/JPEG2000,false,2000-01-01,JPEG2000,JPEG 2000,,
JS,http://publications.europa.eu/resource/authority/file-type/JS,false,1995-12-04,JS,JavaScript,,
JSON,http://publications.europa.eu/resource/authority/file-type/JSON,false,2006-07-01,JSON,JSON,,
JSON_LD,http://publications.europa.eu/resource/authority/file-type/JSON_LD,false,2011-12-27,JSON_LD,JSON-LD,,
KML,http://publications.europa.eu/resource/authority/file-type/KML,false,2013-09-18,KML,KML,,
KMZ,http://publications.europa.eu/resource/authority/file-type/KMZ,false,2013-11-27,KMZ,KMZ,,
LAS,http://publications.europa.eu/resource/authority/file-type/LAS,false,2003-05-09,LAS,LASer file,,
LAZ,http://publications.europa.eu/resource/authority/file-type/LAZ,false,2003-05-09,LAZ,Compressed LAS file,,
LEG,http://publications.europa.eu/resource/authority/file-type/LEG,true,2016-06-01,LEG,LEG,2020-12-15,
LHA,http://publications.europa.eu/resource/authority/file-type/LHA,false,1988-01-01,LHA,LHA,,
LZIP,http://publications.europa.eu/resource/authority/file-type/LZIP,false,2008-01-01,LZIP,lzip,,
LZMA,http://publications.europa.eu/resource/authority/file-type/LZMA,false,2000-01-01,LZMA,lzma,,
LZO,http://publications.europa.eu/resource/authority/file-type/LZO,false,1996-01-01,LZO,lzo,,
MAP_PRVW,http://publications.europa.eu/resource/authority/file-type/MAP_PRVW,false,2010-01-01,MAP_PRVW,ArcGIS Map Preview,,
MAP_SRVC,http://publications.europa.eu/resource/authority/file-type/MAP_SRVC,false,2010-01-01,MAP_SRVC,ArcGIS Map Service,,
MBOX,http://publications.europa.eu/resource/authority/file-type/MBOX,false,2005-09-01,MBOX,MBOX,,
MDB,http://publications.europa.eu/resource/authority/file-type/MDB,false,2013-09-18,MDB,MDB,,
METS,http://publications.europa.eu/resource/authority/file-type/METS,false,2003-10-27,METS,METS XML,,
