# Serializing assets/vocabularies/languages/latest/languages.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/language
# title: Language
# version: 20210929-0
# description: Language
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
ACR,http://publications.europa.eu/resource/authority/language/ACR,false,,1950-05-09,ACR,,
ACS,http://publications.europa.eu/resource/authority/language/ACS,false,,1950-05-09,ACS,,
ACT,http://publications.europa.eu/resource/authority/language/ACT,false,,1950-05-09,ACT,,
ACU,http://publications.europa.eu/resource/authority/language/ACU,false,,1950-05-09,ACU,,
ACV,http://publications.europa.eu/resource/authority/language/ACV,false,,1950-05-09,ACV,,
ACW,http://publications.europa.eu/resource/authority/language/ACW,false,,1950-05-09,ACW,,
ACX,http://publications.europa.eu/resource/authority/language/ACX,false,,1950-05-09,ACX,,
ACY,http://publications.europa.eu/resource/authority/language/ACY,false,,1950-05-09,ACY,,
ACZ,http://publications.europa.eu/resource/authority/language/ACZ,false,,1950-05-09,ACZ,,
ADA,http://publications.europa.eu/resource/authority/language/ADA,false,,1950-05-09,ADA,,
ADB,http://publications.europa.eu/resource/authority/language/ADB,false,,1950-05-09,ADB,,
ADD,http://publications.europa.eu/resource/authority/language/ADD,false,,1950-05-09,ADD,,
ADE,http://publications.europa.eu/resource/authority/language/ADE,false,,1950-05-09,ADE,,
ADF,http://publications.europa.eu/resource/authority/language/ADF,false,,1950-05-09,ADF,,
ADG,http://publications.europa.eu/resource/authority/language/ADG,false,,1950-05-09,ADG,,
ADH,http://publications.europa.eu/resource/authority/language/ADH,false,,1950-05-09,ADH,,
ADI,http://publications.europa.eu/resource/authority/language/ADI,false,,1950-05-09,ADI,,
ADJ,http://publications.europa.eu/resource/authority/language/ADJ,false,,1950-05-09,ADJ,,
ADL,http://publications.europa.eu/resource/authority/language/ADL,false,,1950-05-09,ADL,,
ADN,http://publications.europa.eu/resource/authority/language/ADN,false,,1950-05-09,ADN,,
ADO,http://publications.europa.eu/resource/authority/language/ADO,false,,1950-05-09,ADO,,
ADP,http://publications.europa.eu/resource/authority/language/ADP,false,,1950-05-09,ADP,,
ADQ,http://publications.europa.eu/resource/authority/language/ADQ,false,,1950-05-09,ADQ,,
ADR,http://publications.europa.eu/resource/authority/language/ADR,false,,1950-05-09,ADR,,
ADS,http://publications.europa.eu/resource/authority/language/ADS,false,,1950-05-09,ADS,Adamorobe Sign Language,lingua dei segni di Adamorobe
ADT,http://publications.europa.eu/resource/authority/language/ADT,false,,1950-05-09,ADT,,
ADU,http://publications.europa.eu/resource/authority/language/ADU,false,,1950-05-09,ADU,,
ADW,http://publications.europa.eu/resource/authority/language/ADW,false,,1950-05-09,ADW,,
ADX,http://publications.europa.eu/resource/authority/language/ADX,false,,1950-05-09,ADX,,
ADY,http://publications.europa.eu/resource/authority/language/ADY,false,,1950-05-09,ADY,,
ADZ,http://publications.europa.eu/resource/authority/language/ADZ,false,,1950-05-09,ADZ,,
AEA,http://publications.europa.eu/resource/authority/language/AEA,false,,1950-05-09,AEA,,
AEB,http://publications.europa.eu/resource/authority/language/AEB,false,,1950-05-09,AEB,,
AEC,http://publications.europa.eu/resource/authority/language/AEC,false,,1950-05-09,AEC,,
AED,http://publications.europa.eu/resource/authority/language/AED,false,,1950-05-09,AED,Argentine Sign Language,lingua dei segni argentina
AEE,http://publications.europa.eu/resource/authority/language/AEE,false,,1950-05-09,AEE,,
AEK,http://publications.europa.eu/resource/authority/language/AEK,false,,1950-05-09,AEK,,
AEL,http://publications.europa.eu/resource/authority/language/AEL,false,,1950-05-09,AEL,,
AEM,http://publications.europa.eu/resource/authority/language/AEM,false,,1950-05-09,AEM,,
AEN,http://publications.europa.eu/resource/authority/language/AEN,false,,1950-05-09,AEN,Armenian Sign Language,lingua dei segni armena
AEQ,http://publications.europa.eu/resource/authority/language/AEQ,false,,1950-05-09,AEQ,,
AER,http://publications.europa.eu/resource/authority/language/AER,false,,1950-05-09,AER,,
AES,http://publications.europa.eu/resource/authority/language/AES,false,,1950-05-09,AES,,
AEU,http://publications.europa.eu/resource/authority/language/AEU,false,,1950-05-09,AEU,,
AEW,http://publications.europa.eu/resource/authority/language/AEW,false,,1950-05-09,AEW,,
AEY,http://publications.europa.eu/resource/authority/language/AEY,false,,1950-05-09,AEY,,
AEZ,http://publications.europa.eu/resource/authority/language/AEZ,false,,1950-05-09,AEZ,,
AFA,http://publications.europa.eu/resource/authority/language/AFA,false,,1950-05-09,AFA,Afro-Asiatic languages,
AFB,http://publications.europa.eu/resource/authority/language/AFB,false,,1950-05-09,AFB,,
