# Serializing assets/vocabularies/grammatical-consciousness/latest/grammatical-consciousness.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/grammatical-consciousness
# title: Grammatical consciousness
# version: 20160831-0
# description: Grammatical consciousness
key,url,deprecated,valid_from,country_code,label_en,label_it
H,http://publications.europa.eu/resource/authority/grammatical-consciousness/H,false,1952-07-23,H,Human being,
OP_DATPRO,http://publications.europa.eu/resource/authority/grammatical-consciousness/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
T,http://publications.europa.eu/resource/authority/grammatical-consciousness/T,false,1952-07-23,T,Thing and animal,
