# Serializing assets/vocabularies/sites/latest/sites.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/site
# title: Site
# version: 20210929-0
# description: Site
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
AVORELLANAE11_160,http://publications.europa.eu/resource/authority/site/AVORELLANAE11_160,false,1958-01-01,AVORELLANAE11_160,Av. Orellana E11-160,,
AVORINOCO,http://publications.europa.eu/resource/authority/site/AVORINOCO,false,1958-01-01,AVORINOCO,Avenida Orinoco,,
AVRICARDOLYON222,http://publications.europa.eu/resource/authority/site/AVRICARDOLYON222,false,1958-01-01,AVRICARDOLYON222,Av. Ricardo Lyon 222,,
AVROTARYINTER,http://publications.europa.eu/resource/authority/site/AVROTARYINTER,false,1958-01-01,AVROTARYINTER,Avenida Rotary International,,
AVSUFFREN100,http://publications.europa.eu/resource/authority/site/AVSUFFREN100,false,1958-01-01,AVSUFFREN100,Av Suffren 100,,
AVTERRASSONFOUGERES,http://publications.europa.eu/resource/authority/site/AVTERRASSONFOUGERES,false,1958-01-01,AVTERRASSONFOUGERES,Avenue Terrasson de Fougères,,
AYACUCHO1537,http://publications.europa.eu/resource/authority/site/AYACUCHO1537,false,1958-01-01,AYACUCHO1537,Ayacucho 1537,,
AYALA6819,http://publications.europa.eu/resource/authority/site/AYALA6819,false,1958-01-01,AYALA6819,Ayala 6819,,
B100,http://publications.europa.eu/resource/authority/site/B100,false,1958-01-01,B100,,,
B135,http://publications.europa.eu/resource/authority/site/B135,true,1958-01-01,B135,European Court of Auditors,,Corte dei conti europea
B232,http://publications.europa.eu/resource/authority/site/B232,false,1958-01-01,B232,,,
B28,http://publications.europa.eu/resource/authority/site/B28,false,1958-01-01,B28,,,
B68,http://publications.europa.eu/resource/authority/site/B68,false,1958-01-01,B68,CoR/EESC,,CdR/CESE
BAIRRODAPENHA,http://publications.europa.eu/resource/authority/site/BAIRRODAPENHA,false,1958-01-01,BAIRRODAPENHA,Bairro da Penha,,
BARBUSSE2,http://publications.europa.eu/resource/authority/site/BARBUSSE2,false,1958-01-01,BARBUSSE2,Barbusse 2,,
