# Serializing assets/vocabularies/membership-classification/latest/membership-classification.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/membership-classification
# title: Membership classification
# version: 20201216-0
# description: Membership classification
key,url,deprecated,valid_from,country_code,label_en,label_it
EEA,http://publications.europa.eu/resource/authority/membership-classification/EEA,false,1994-01-01,EEA,European Economic Area,Spazio economico europeo
EFTA,http://publications.europa.eu/resource/authority/membership-classification/EFTA,false,1960-01-04,EFTA,European Free Trade Association,Associazione europea di libero scambio
EU,http://publications.europa.eu/resource/authority/membership-classification/EU,false,1951-01-01,EU,European Union,Unione europea
EURO,http://publications.europa.eu/resource/authority/membership-classification/EURO,false,1999-01-01,EURO,Euro area,Zona euro
OP_DATPRO,http://publications.europa.eu/resource/authority/membership-classification/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
OTHER,http://publications.europa.eu/resource/authority/membership-classification/OTHER,false,1951-01-01,OTHER,Other,Altro
SCHENGEN,http://publications.europa.eu/resource/authority/membership-classification/SCHENGEN,false,1995-03-26,SCHENGEN,Schengen area,Spazio Schengen
