# Serializing assets/vocabularies/legal-basis/latest/legal-basis.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/legal-basis
# title: Legal basis
# version: 20210616-0
# description: Legal basis
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
32014R0232,http://publications.europa.eu/resource/authority/legal-basis/32014R0232,false,2014-01-01,32014R0232,Regulation (EU) No 232/2014,Regolamento (UE) n. 232/2014,
32014R0233,http://publications.europa.eu/resource/authority/legal-basis/32014R0233,false,2014-01-01,32014R0233,Regulation (EU) No 233/2014,Regolamento (UE) n. 233/2014,
32014R0236,http://publications.europa.eu/resource/authority/legal-basis/32014R0236,false,2014-01-01,32014R0236,Regulation (EU) No 236/2014,Regolamento (UE) n. 236/2014,
32014R0237,http://publications.europa.eu/resource/authority/legal-basis/32014R0237,false,2014-01-01,32014R0237,Regulation (Euratom) No 237/2014,Regolamento (Euratom) n. 237/2014,
32015R0323,http://publications.europa.eu/resource/authority/legal-basis/32015R0323,false,2015-03-06,32015R0323,Regulation (EU) 2015/323,Regolamento (UE) 2015/323,
32016D0002,http://publications.europa.eu/resource/authority/legal-basis/32016D0002,false,2016-04-15,32016D0002,Decision (EU) 2016/245 (ECB/2016/2),Decisione (UE) 2016/245 (BCE/2016/2),
32017D2263,http://publications.europa.eu/resource/authority/legal-basis/32017D2263,false,2017-12-15,32017D2263,Decision (CFSP) 2017/2263,Decisione (PESC) 2017/2263,
32018R1046,http://publications.europa.eu/resource/authority/legal-basis/32018R1046,false,2018-12-12,32018R1046,"Regulation (EU, Euratom) 2018/1046","Regolamento (UE, Euratom) 2018/1046",
32019D0312,http://publications.europa.eu/resource/authority/legal-basis/32019D0312,false,2019-03-01,32019D0312,Decision (CFSP) 2019/312,Decisione (PESC) 2019/312,
C2019_3277,http://publications.europa.eu/resource/authority/legal-basis/C2019_3277,false,2021-06-16,C2019_3277,Decision C(2019) 3277,,
C2019_5515,http://publications.europa.eu/resource/authority/legal-basis/C2019_5515,false,2021-06-16,C2019_5515,Decision C(2019) 5515,,
CFSP2017_34,http://publications.europa.eu/resource/authority/legal-basis/CFSP2017_34,false,2021-06-16,CFSP2017_34,CFSP/2017/34/EUMM Georgia,,
OP_DATPRO,http://publications.europa.eu/resource/authority/legal-basis/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori,
other,http://publications.europa.eu/resource/authority/legal-basis/other,false,1985-08-03,other,Other,Altro,
