# Serializing assets/vocabularies/notation-type/latest/notation-type.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/notation-type
# title: Notation type
# version: 20210616-0
# description: Notation type
key,url,deprecated,valid_from,country_code,label_en,label_it
ISBN_RG,http://publications.europa.eu/resource/authority/notation-type/ISBN_RG,false,2000-01-01,ISBN_RG,ISBN reg ele,
ISG_COU,http://publications.europa.eu/resource/authority/notation-type/ISG_COU,false,1993-01-01,ISG_COU,ISG COU,
ISNI,http://publications.europa.eu/resource/authority/notation-type/ISNI,false,2012-03-15,ISNI,ISNI,
ISO_15924_ALPHA_4,http://publications.europa.eu/resource/authority/notation-type/ISO_15924_ALPHA_4,false,2020-06-24,ISO_15924_ALPHA_4,ISO 15924 α-4,
ISO_15924_NUM,http://publications.europa.eu/resource/authority/notation-type/ISO_15924_NUM,false,2020-06-24,ISO_15924_NUM,ISO 15924 num,
ISO_3166_1_ALPHA_2,http://publications.europa.eu/resource/authority/notation-type/ISO_3166_1_ALPHA_2,false,1997-01-01,ISO_3166_1_ALPHA_2,ISO 3166-1 α-2,
ISO_3166_1_ALPHA_3,http://publications.europa.eu/resource/authority/notation-type/ISO_3166_1_ALPHA_3,false,1997-01-01,ISO_3166_1_ALPHA_3,ISO 3166-1 α-3,
ISO_3166_1_NUM,http://publications.europa.eu/resource/authority/notation-type/ISO_3166_1_NUM,false,1981-01-01,ISO_3166_1_NUM,ISO 3166-1 num,
ISO_3166_2,http://publications.europa.eu/resource/authority/notation-type/ISO_3166_2,false,1998-01-01,ISO_3166_2,ISO 3166-2,
ISO_3166_3,http://publications.europa.eu/resource/authority/notation-type/ISO_3166_3,false,1999-01-01,ISO_3166_3,ISO 3166-3,
ISO_4217,http://publications.europa.eu/resource/authority/notation-type/ISO_4217,false,1978-02-01,ISO_4217,ISO 4217,
ISO_5218_2,http://publications.europa.eu/resource/authority/notation-type/ISO_5218_2,false,1976-11-01,ISO_5218_2,ISO 5218-2,
ISO_639_1,http://publications.europa.eu/resource/authority/notation-type/ISO_639_1,false,1967-01-01,ISO_639_1,ISO 639-1,
ISO_639_2B,http://publications.europa.eu/resource/authority/notation-type/ISO_639_2B,false,1989-01-01,ISO_639_2B,ISO 639-2 b,
ISO_639_2T,http://publications.europa.eu/resource/authority/notation-type/ISO_639_2T,false,1989-01-01,ISO_639_2T,ISO 639-2 t,
ISO_639_3,http://publications.europa.eu/resource/authority/notation-type/ISO_639_3,false,2007-02-01,ISO_639_3,ISO 639-3,
ISSN,http://publications.europa.eu/resource/authority/notation-type/ISSN,false,1975-01-01,ISSN,ISSN,
ISSN_L,http://publications.europa.eu/resource/authority/notation-type/ISSN_L,false,2007-12-31,ISSN_L,ISSN-L,
ISTC,http://publications.europa.eu/resource/authority/notation-type/ISTC,false,2009-03-01,ISTC,ISTC,
LAC,http://publications.europa.eu/resource/authority/notation-type/LAC,false,1958-01-01,LAC,Legacy code,
LITIGE,http://publications.europa.eu/resource/authority/notation-type/LITIGE,false,1998-11-12,LITIGE,Litige,
LRIS,http://publications.europa.eu/resource/authority/notation-type/LRIS,false,2012-12-31,LRIS,LRIS,
LSID,http://publications.europa.eu/resource/authority/notation-type/LSID,false,2003-09-30,LSID,LSID,
MINIDOC,http://publications.europa.eu/resource/authority/notation-type/MINIDOC,false,1952-07-24,MINIDOC,Minidoc,
