# Serializing assets/vocabularies/eu-budget-amount-status/latest/eu-budget-amount-status.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/eu-budget-amount-status
# title: EU budget amount status
# version: 20210317-0
# description: EU budget amount status
key,url,deprecated,valid_from,country_code,label_en,label_it
ADOPTED,http://publications.europa.eu/resource/authority/eu-budget-amount-status/ADOPTED,false,1958-01-01,ADOPTED,Adopted,Adottato
AMENDED,http://publications.europa.eu/resource/authority/eu-budget-amount-status/AMENDED,false,1958-01-01,AMENDED,Amended,Modificato
OP_DATPRO,http://publications.europa.eu/resource/authority/eu-budget-amount-status/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
OUTTURN,http://publications.europa.eu/resource/authority/eu-budget-amount-status/OUTTURN,false,1958-01-01,OUTTURN,Outturn,Esecuzione
