# Serializing assets/vocabularies/datasetstatus/latest/datasetstatus.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/dataset-status
# title: Dataset status
# version: 20160921-0
# description: Dataset status
key,url,deprecated,valid_from,country_code,label_en,label_it
COMPLETED,http://publications.europa.eu/resource/authority/dataset-status/COMPLETED,false,2013-01-01,COMPLETED,completed,completato
DEPRECATED,http://publications.europa.eu/resource/authority/dataset-status/DEPRECATED,false,2013-01-01,DEPRECATED,deprecated,sconsigliato
DEVELOP,http://publications.europa.eu/resource/authority/dataset-status/DEVELOP,false,2013-01-01,DEVELOP,under development,in corso di sviluppo
DISCONT,http://publications.europa.eu/resource/authority/dataset-status/DISCONT,false,2013-01-01,DISCONT,discontinued,interrotta
OP_DATPRO,http://publications.europa.eu/resource/authority/dataset-status/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
WITHDRAWN,http://publications.europa.eu/resource/authority/dataset-status/WITHDRAWN,false,2013-01-01,WITHDRAWN,withdrawn,ritirato
