# Serializing assets/vocabularies/multilingual/latest/multilingual.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/multilingual
# title: Multilingual
# version: 20210616-0
# description: Multilingual
key,url,deprecated,country_code,label_en,label_it
2N0,http://publications.europa.eu/resource/authority/multilingual/2N0,false,2N0,Multilingual Code,
2P0,http://publications.europa.eu/resource/authority/multilingual/2P0,false,2P0,Multilingual Code,
2Q0,http://publications.europa.eu/resource/authority/multilingual/2Q0,false,2Q0,Multilingual Code,
2R0,http://publications.europa.eu/resource/authority/multilingual/2R0,false,2R0,Multilingual Code,
2S0,http://publications.europa.eu/resource/authority/multilingual/2S0,false,2S0,Multilingual Code,
2T0,http://publications.europa.eu/resource/authority/multilingual/2T0,false,2T0,Multilingual Code,
2U0,http://publications.europa.eu/resource/authority/multilingual/2U0,false,2U0,Multilingual Code,
2V0,http://publications.europa.eu/resource/authority/multilingual/2V0,false,2V0,Multilingual Code,
2W0,http://publications.europa.eu/resource/authority/multilingual/2W0,false,2W0,Multilingual Code,
2X0,http://publications.europa.eu/resource/authority/multilingual/2X0,false,2X0,Multilingual Code,
2Y0,http://publications.europa.eu/resource/authority/multilingual/2Y0,false,2Y0,Multilingual Code,
2Z0,http://publications.europa.eu/resource/authority/multilingual/2Z0,false,2Z0,Multilingual Code,
300,http://publications.europa.eu/resource/authority/multilingual/300,false,300,Multilingual Code,
310,http://publications.europa.eu/resource/authority/multilingual/310,false,310,Multilingual Code,
320,http://publications.europa.eu/resource/authority/multilingual/320,false,320,Multilingual Code,
330,http://publications.europa.eu/resource/authority/multilingual/330,false,330,Multilingual Code,
340,http://publications.europa.eu/resource/authority/multilingual/340,false,340,Multilingual Code,
350,http://publications.europa.eu/resource/authority/multilingual/350,false,350,Multilingual Code,
360,http://publications.europa.eu/resource/authority/multilingual/360,false,360,Multilingual Code,
370,http://publications.europa.eu/resource/authority/multilingual/370,false,370,Multilingual Code,
380,http://publications.europa.eu/resource/authority/multilingual/380,false,380,Multilingual Code,
390,http://publications.europa.eu/resource/authority/multilingual/390,false,390,Multilingual Code,
3A0,http://publications.europa.eu/resource/authority/multilingual/3A0,false,3A0,Multilingual Code,
3B0,http://publications.europa.eu/resource/authority/multilingual/3B0,false,3B0,Multilingual Code,
3C0,http://publications.europa.eu/resource/authority/multilingual/3C0,false,3C0,Multilingual Code,
3D0,http://publications.europa.eu/resource/authority/multilingual/3D0,false,3D0,Multilingual Code,
3E0,http://publications.europa.eu/resource/authority/multilingual/3E0,false,3E0,Multilingual Code,
3F0,http://publications.europa.eu/resource/authority/multilingual/3F0,false,3F0,Multilingual Code,
3G0,http://publications.europa.eu/resource/authority/multilingual/3G0,false,3G0,Multilingual Code,
3H0,http://publications.europa.eu/resource/authority/multilingual/3H0,false,3H0,Multilingual Code,
3I0,http://publications.europa.eu/resource/authority/multilingual/3I0,false,3I0,Multilingual Code,
