# Serializing assets/vocabularies/treaty-classification/latest/treaty-classification.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/treaty-classification
# title: Treaty classification
# version: 20190220-0
# description: Treaty classification
key,url,deprecated,valid_from,country_code,label_en,label_it
ACCESS,http://publications.europa.eu/resource/authority/treaty-classification/ACCESS,false,1972-01-22,ACCESS,Accession treaty,Trattato di adesione
AMEND,http://publications.europa.eu/resource/authority/treaty-classification/AMEND,false,1965-04-08,AMEND,Amending treaty,Trattato modificato
CONS,http://publications.europa.eu/resource/authority/treaty-classification/CONS,false,1992-02-07,CONS,Consolidated version,Versione consolidata
FOUND,http://publications.europa.eu/resource/authority/treaty-classification/FOUND,false,1951-04-18,FOUND,Founding treaty,Trattato costitutivo
OP_DATPRO,http://publications.europa.eu/resource/authority/treaty-classification/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
OTHER,http://publications.europa.eu/resource/authority/treaty-classification/OTHER,false,1962-11-13,OTHER,Other,Altro
SUBPART,http://publications.europa.eu/resource/authority/treaty-classification/SUBPART,false,1951-04-18,SUBPART,Subpart,
WITHDRAWAL,http://publications.europa.eu/resource/authority/treaty-classification/WITHDRAWAL,false,2007-12-13,WITHDRAWAL,Withdrawal agreement,Accordo di recesso
