# Serializing assets/vocabularies/continents/latest/continents.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/continent
# title: Continent
# version: 20210317-0
# description: Continent
key,url,deprecated,valid_from,country_code,label_en,label_it
AFRICA,http://publications.europa.eu/resource/authority/continent/AFRICA,false,1952-07-24,AFRICA,Africa,Africa
AMERICA,http://publications.europa.eu/resource/authority/continent/AMERICA,false,1952-07-24,AMERICA,America,America
ANTARCTICA,http://publications.europa.eu/resource/authority/continent/ANTARCTICA,false,1952-07-24,ANTARCTICA,Antarctica,Antartide
ASIA,http://publications.europa.eu/resource/authority/continent/ASIA,false,1952-07-24,ASIA,Asia,Asia
EUROPE,http://publications.europa.eu/resource/authority/continent/EUROPE,false,1952-07-24,EUROPE,Europe,Europa
OCEANIA,http://publications.europa.eu/resource/authority/continent/OCEANIA,false,1952-07-24,OCEANIA,Oceania,Oceania
OP_DATPRO,http://publications.europa.eu/resource/authority/continent/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
