# Serializing assets/vocabularies/grammatical-number/latest/grammatical-number.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/grammatical-number
# title: Grammatical number
# version: 20210317-0
# description: Grammatical number
key,url,deprecated,valid_from,country_code,label_en,label_it
D,http://publications.europa.eu/resource/authority/grammatical-number/D,false,1952-07-23,D,Dual,Duale
G,http://publications.europa.eu/resource/authority/grammatical-number/G,false,2021-02-18,G,Generic,
OP_DATPRO,http://publications.europa.eu/resource/authority/grammatical-number/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
P,http://publications.europa.eu/resource/authority/grammatical-number/P,false,1952-07-23,P,Plural,Plurale
S,http://publications.europa.eu/resource/authority/grammatical-number/S,false,1952-07-23,S,Singular,Singolare
