# Serializing assets/vocabularies/places/latest/places.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/place
# title: Place
# version: 20210929-0
# description: Place
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
AUT_FED,http://publications.europa.eu/resource/authority/place/AUT_FED,false,1951-01-01,AUT_FED,Feldbach,Feldbach,
AUT_FKI,http://publications.europa.eu/resource/authority/place/AUT_FKI,false,1951-01-01,AUT_FKI,Feldkirchen im Kärnten,Feldkirchen im Kärnten,
AUT_FKT,http://publications.europa.eu/resource/authority/place/AUT_FKT,false,1951-01-01,AUT_FKT,Feldkirch,Feldkirch,
AUT_FLH,http://publications.europa.eu/resource/authority/place/AUT_FLH,false,1951-01-01,AUT_FLH,Ferlach,,
AUT_FSD,http://publications.europa.eu/resource/authority/place/AUT_FSD,false,1951-01-01,AUT_FSD,Freistadt,Freistadt,
AUT_FUF,http://publications.europa.eu/resource/authority/place/AUT_FUF,false,1951-01-01,AUT_FUF,Fürstenfeld,Fürstenfeld,
AUT_GDN,http://publications.europa.eu/resource/authority/place/AUT_GDN,false,1951-01-01,AUT_GDN,Gmunden,Gmunden,
AUT_GIE,http://publications.europa.eu/resource/authority/place/AUT_GIE,false,1951-01-01,AUT_GIE,Grieskirchen,Grieskirchen,
AUT_GMU,http://publications.europa.eu/resource/authority/place/AUT_GMU,false,1951-01-01,AUT_GMU,Gmünd,Gmünd,
AUT_GNF,http://publications.europa.eu/resource/authority/place/AUT_GNF,false,1951-01-01,AUT_GNF,Gänserndorf,Gänserndorf,
AUT_GRZ,http://publications.europa.eu/resource/authority/place/AUT_GRZ,false,1951-01-01,AUT_GRZ,Graz,Graz,
AUT_GSS,http://publications.europa.eu/resource/authority/place/AUT_GSS,false,1951-01-01,AUT_GSS,Güssing,Güssing,
AUT_HLL,http://publications.europa.eu/resource/authority/place/AUT_HLL,false,1951-01-01,AUT_HLL,Hallein,Hallein,
AUT_HOL,http://publications.europa.eu/resource/authority/place/AUT_HOL,false,1951-01-01,AUT_HOL,Hollabrunn,Hollabrunn,
AUT_HOR,http://publications.europa.eu/resource/authority/place/AUT_HOR,false,1951-01-01,AUT_HOR,Horn,Horn,
AUT_HPS,http://publications.europa.eu/resource/authority/place/AUT_HPS,false,1951-01-01,AUT_HPS,Hermagor-Pressegger See,,
AUT_HTA,http://publications.europa.eu/resource/authority/place/AUT_HTA,false,1951-01-01,AUT_HTA,Hartberg,Hartberg,
AUT_ICH,http://publications.europa.eu/resource/authority/place/AUT_ICH,false,1951-01-01,AUT_ICH,Bad Ischl,Bad Ischl,
AUT_IMZ,http://publications.europa.eu/resource/authority/place/AUT_IMZ,false,1951-01-01,AUT_IMZ,Imst,Imst,
AUT_INN,http://publications.europa.eu/resource/authority/place/AUT_INN,false,1951-01-01,AUT_INN,Innsbruck,Innsbruck,
AUT_JDF,http://publications.europa.eu/resource/authority/place/AUT_JDF,false,1951-01-01,AUT_JDF,Jennersdorf,Jennersdorf,
AUT_JDN,http://publications.europa.eu/resource/authority/place/AUT_JDN,false,1951-01-01,AUT_JDN,Judenburg,Judenburg,
AUT_JOA,http://publications.europa.eu/resource/authority/place/AUT_JOA,false,1951-01-01,AUT_JOA,Sankt Johann im Pongau,Sankt Johann im Pongau,
AUT_KAN,http://publications.europa.eu/resource/authority/place/AUT_KAN,false,1951-01-01,AUT_KAN,Krems an der Donau,Krems an der Donau,
AUT_KBG,http://publications.europa.eu/resource/authority/place/AUT_KBG,false,1951-01-01,AUT_KBG,Korneuburg,Korneuburg,
AUT_KFS,http://publications.europa.eu/resource/authority/place/AUT_KFS,false,1951-01-01,AUT_KFS,Kufstein,Kufstein,
