# Serializing assets/vocabularies/website-identifier/latest/website-identifier.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/website-identifier
# title: Website identifier
# version: 20210616-0
# description: Website identifier
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
EGSA_WS,http://publications.europa.eu/resource/authority/website-identifier/EGSA_WS,false,2010-10-01,EGSA_WS,European GNSS Agency,Agenzia del GNSS europeo,
EIB_WS,http://publications.europa.eu/resource/authority/website-identifier/EIB_WS,false,1997-01-01,EIB_WS,European Investment Bank,Banca europea per gli investimenti,
EIF_WS,http://publications.europa.eu/resource/authority/website-identifier/EIF_WS,false,1997-01-01,EIF_WS,European Investment Fund,Fondo europeo per gli investimenti,
EIGE_WS,http://publications.europa.eu/resource/authority/website-identifier/EIGE_WS,false,2010-10-01,EIGE_WS,European Institute for Gender Equality,Istituto europeo per l’uguaglianza di genere,
EIOPA_WS,http://publications.europa.eu/resource/authority/website-identifier/EIOPA_WS,false,2010-10-24,EIOPA_WS,European Insurance and Occupational Pensions Authority,Autorità europea delle assicurazioni e delle pensioni aziendali e professionali,
EIT_WS,http://publications.europa.eu/resource/authority/website-identifier/EIT_WS,false,2010-10-01,EIT_WS,European Institute of Innovation and Technology,Istituto europeo di innovazione e tecnologia,
EMCDDA_WS,http://publications.europa.eu/resource/authority/website-identifier/EMCDDA_WS,false,2010-10-01,EMCDDA_WS,European Monitoring Centre for Drugs and Drug Addiction,Osservatorio europeo delle droghe e delle tossicodipendenze,
EMEA_WS,http://publications.europa.eu/resource/authority/website-identifier/EMEA_WS,false,2010-10-01,EMEA_WS,European Medicines Agency,Agenzia europea per i medicinali,
EMSA_WS,http://publications.europa.eu/resource/authority/website-identifier/EMSA_WS,false,2010-10-01,EMSA_WS,European Maritime Safety Agency,Agenzia europea per la sicurezza marittima,
ENISA_WS,http://publications.europa.eu/resource/authority/website-identifier/ENISA_WS,false,2005-01-01,ENISA_WS,European Union Agency for Network and Information Security,Agenzia dell’Unione europea per la sicurezza delle reti e dell’informazione,
EP_CROA_WS,http://publications.europa.eu/resource/authority/website-identifier/EP_CROA_WS,false,2013-05-02,EP_CROA_WS,Hearing of Commissioner-designate Mimica,Audizione del Commissario designato Neven Mimica,
EP_ELECTION_OMB_WS,http://publications.europa.eu/resource/authority/website-identifier/EP_ELECTION_OMB_WS,false,2013-04-01,EP_ELECTION_OMB_WS,Election of the European Ombudsman – 2013,Elezione del Mediatore europeo -- 2013,
EP_WS,http://publications.europa.eu/resource/authority/website-identifier/EP_WS,false,1997-01-01,EP_WS,European Parliament,Parlamento europeo,
ERA_WS,http://publications.europa.eu/resource/authority/website-identifier/ERA_WS,false,2010-10-01,ERA_WS,European Union Agency for Railways,Agenzia dell’Unione europea per le ferrovie,
ERC_WS,http://publications.europa.eu/resource/authority/website-identifier/ERC_WS,false,2007-09-01,ERC_WS,European Research Council Executive Agency,Agenzia esecutiva del Consiglio europeo della ricerca,
ESA_WS,http://publications.europa.eu/resource/authority/website-identifier/ESA_WS,false,2010-10-01,ESA_WS,European Space Agency,Agenzia spaziale europea,
ESMA_WS,http://publications.europa.eu/resource/authority/website-identifier/ESMA_WS,false,2010-10-01,ESMA_WS,European Securities and Markets Authority,Autorità europea degli strumenti finanziari e dei mercati,
ESTAT_WS,http://publications.europa.eu/resource/authority/website-identifier/ESTAT_WS,false,2004-10-01,ESTAT_WS,Statistical Office of the European Union,Ufficio statistico dell’Unione europea,
ETF_WS,http://publications.europa.eu/resource/authority/website-identifier/ETF_WS,false,2010-10-01,ETF_WS,European Training Foundation,Fondazione europea per la formazione,
EUISS_WS,http://publications.europa.eu/resource/authority/website-identifier/EUISS_WS,false,2010-10-01,EUISS_WS,European Union Institute for Security Studies,Istituto dell’Unione europea per gli studi sulla sicurezza,
EUI_WS,http://publications.europa.eu/resource/authority/website-identifier/EUI_WS,false,2010-10-01,EUI_WS,European University Institute,Istituto universitario europeo,
EUODP_WS,http://publications.europa.eu/resource/authority/website-identifier/EUODP_WS,false,2012-12-01,EUODP_WS,EU Open Data Portal,Portale Open Data dell’UE,
EURCOU_WS,http://publications.europa.eu/resource/authority/website-identifier/EURCOU_WS,false,1997-01-01,EURCOU_WS,European Council,Consiglio europeo,
EURLEX_WS,http://publications.europa.eu/resource/authority/website-identifier/EURLEX_WS,false,2005-01-01,EURLEX_WS,EUR-Lex,EUR-Lex,
EUROFOUND_WS,http://publications.europa.eu/resource/authority/website-identifier/EUROFOUND_WS,false,2010-10-01,EUROFOUND_WS,European Foundation for the Improvement of Living and Working Conditions,Fondazione europea per il miglioramento delle condizioni di vita e di lavoro,
EUROJUST_WS,http://publications.europa.eu/resource/authority/website-identifier/EUROJUST_WS,false,2010-10-01,EUROJUST_WS,European Union’s Judicial Cooperation Unit,Unità europea di cooperazione giudiziaria,
EUROKRATT_WS,http://publications.europa.eu/resource/authority/website-identifier/EUROKRATT_WS,false,2014-01-01,EUROKRATT_WS,Eurokratt,,
EUROPOL_WS,http://publications.europa.eu/resource/authority/website-identifier/EUROPOL_WS,false,2010-10-01,EUROPOL_WS,European Union Agency for Law Enforcement Cooperation,Agenzia dell’Unione europea per la cooperazione nell’attività di contrasto,
EUROVOC_WS,http://publications.europa.eu/resource/authority/website-identifier/EUROVOC_WS,true,2012-12-01,EUROVOC_WS,EuroVoc,EuroVoc,2018-12-17
EURUN_WS,http://publications.europa.eu/resource/authority/website-identifier/EURUN_WS,false,1995-01-01,EURUN_WS,European Union,Unione europea,
EUR_CONVENTON_WS,http://publications.europa.eu/resource/authority/website-identifier/EUR_CONVENTON_WS,false,1999-12-01,EUR_CONVENTON_WS,European Convention,Convenzione europea,1999-12-02
