# Serializing assets/vocabularies/humansexes/latest/humansexes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/human-sex
# title: Human sex
# version: 20210929-0
# description: Human sex
key,url,deprecated,valid_from,country_code,label_en,label_it
FEMALE,http://publications.europa.eu/resource/authority/human-sex/FEMALE,false,2015-05-06,FEMALE,female,femminile
MALE,http://publications.europa.eu/resource/authority/human-sex/MALE,false,2015-05-06,MALE,male,maschile
NAP,http://publications.europa.eu/resource/authority/human-sex/NAP,false,2015-05-06,NAP,not applicable,non pertinente
NKN,http://publications.europa.eu/resource/authority/human-sex/NKN,false,2015-05-06,NKN,not known,ignoto
NST,http://publications.europa.eu/resource/authority/human-sex/NST,false,2020-11-26,NST,not stated,non dichiarato
OP_DATPRO,http://publications.europa.eu/resource/authority/humansexes/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
