# Serializing assets/vocabularies/grammatical-gender/latest/grammatical-gender.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/grammatical-gender
# title: Grammatical gender
# version: 20210317-0
# description: Grammatical gender
key,url,deprecated,valid_from,country_code,label_en,label_it
F,http://publications.europa.eu/resource/authority/grammatical-gender/F,false,1952-07-23,F,Feminine,Femminile
G,http://publications.europa.eu/resource/authority/grammatical-gender/G,false,2021-02-18,G,Generic,
M,http://publications.europa.eu/resource/authority/grammatical-gender/M,false,1952-07-23,M,Masculine,Maschile
N,http://publications.europa.eu/resource/authority/grammatical-gender/N,false,1952-07-23,N,Neuter,Neutro
OP_DATPRO,http://publications.europa.eu/resource/authority/grammatical-gender/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
U,http://publications.europa.eu/resource/authority/grammatical-gender/U,false,1952-07-23,U,Utrum,Comune
Z,http://publications.europa.eu/resource/authority/grammatical-gender/Z,false,2021-02-18,Z,No gender,
